Name,Symbol,country,price (GBP),revenue_ttm,marketcap,earnings_ttm,pe_ratio_ttm,dividend_yield_ttm,Market_Cap_Bn,Profit_Margin
MRC Global,MRC,United States,9.486402,3294000000,808587660.64128,171000000.0,13.4468,0.0,0.8085876606412801,5.191256830601093
Cimpress,CMPR,Ireland,62.328328,3291856000,1562328148.1984,128446000.0,-13.7778,0.0,1.5623281481984,3.9019325268176983
ScanSource,SCSC,United States,35.9721316,3259809000,864439109.1968,99841000.0,13.3025,0.0,0.8644391091968,3.062786807447921
AMN Healthcare Services,AMN,United States,32.4290176,3233295000,1232364308.3162,198723000.0,5.6087,0.0,1.2323643083162,6.146145031616354
Finnair,FIA1S.HE,Finland,2.1514550168,3226372765,439996503.91016,72149600.0,50.0657,0.0,0.43999650391016,2.236245011199132
Vertex Energy,VTNR,United States,0.09219716,3196539000,8621753.41276,-102257000.0,0.188889,0.0,0.008621753412760001,-3.198991158875271
Werner Enterprises,WERN,United States,29.6631028,3169567000,1833411230.3923,82186000.0,16.3935,0.1,1.8334112303922998,2.5929724785751493
Sligro Food,SLIGR.AS,Netherlands,10.639095088,3160512934,470101111.47884,6632770.0,0.0,0.1,0.47010111147884,0.2098637195452148
Unimot,UNT.WA,Poland,27.760717268,3153457106,227577151.09972,136091000.0,11.4288,0.0,0.22757715109972,4.315612847279997
Avient,AVNT,United States,38.1437176,3151400000,3483006011.2486,137100000.0,7.75538,0.1,3.4830060112486,4.350447420194199
Steelcase,SCS,United States,10.017335728,3136200000,1141675804.7334,192500000.0,28.1915,0.1,1.1416758047334001,6.138001402971749
Synergie SE,SDG.PA,France,27.01986356,3127938858,631705369.41436,139772000.0,0.0,0.0,0.6317053694143601,4.468501666601311
NFI Group,NFI.TO,Canada,10.167746632,3075233000,1210189683.6296,77138000.0,-10.5914,0.0,1.2101896836296,2.5083627809665154
Brookdale Senior Living,BKD,United States,5.17294644,3069523000,1020110194.9133,35593000.0,-13.18,0.0,1.0201101949133,1.1595612738526475
Designer Brands,DBI,United States,5.33372,3059173000,296018802.28352,-11693000.0,3.19178,0.1,0.29601880228352,-0.3822274843560661
Acadia Healthcare,ACHC,United States,44.1022448,3057225000,4095652085.8214,-2129000.0,21.1639,0.0,4.0956520858214,-0.06963831579291678
Elkem,ELK.OL,Norway,1.4457124256,3057050603,916825155.29076,-71239400.0,8.27514,0.0,0.91682515529076,-2.3303310691059567
Fila,081660.KS,South Korea,24.055153396,3051154984,1432305675.3954,239405000.0,9.97974,0.1,1.4323056753954,7.846372972052213
Jungheinrich,JUN3.F,Germany,22.679815596,3045489097,2343253534.5178,235564000.0,0.0,0.1,2.3432535345178,7.73484955937112
Winnebago Industries,WGO,United States,44.2774956,3023600000,1282054926.2438,119000000.0,6.99639,0.1,1.2820549262438,3.9357057811879876
Per Aarsleff Holding A/S B,PAAL-B.CO,Denmark,45.826103104,2989975412,804014147.37132,160948000.0,11.4875,0.1,0.80401414737132,5.382920520150418
Econocom Group,ECONB.BR,Belgium,1.6887395676,2963961972,289646124.67884,94738000.0,5.72758,0.0,0.28964612467884,3.196329807702405
Nabors Industries,NBR,Bermuda,47.4282002,2928277000,452873864.11776,11937000.0,-6.56946,0.0,0.45287386411776,0.4076458613717213
